Ingredient Name,Unit of Measurement,Purchase Unit,Conversion Factor,Cost Per Unit,Category,Description,Minimum Stock Level,Current Stock,Storage Temperature,Is Perishable,Shelf Life Days,Brand,Active,Available
Red Cheeries ,can,can,830,107.8,Tin,,0.0,0.0,room_temperature,False,,FRUTINS,True,True
Baby Corn,can,can,400,47.11,Tin,,0.0,0.0,room_temperature,False,,FRUTINS,True,True
Coconut Milk ,can,can,400,155.0,Tin,,0.0,0.0,room_temperature,False,,FRUTINS,True,True
Bamboo Shoot,can,can,800,77.0,Tin,,0.0,0.0,room_temperature,False,,FRUTINS,True,True
Sweet Corn Cream Style ,can,can,440,29.33,Tin,,0.0,0.0,room_temperature,False,,FRUTINS,True,True
Chipo.Papeer In Adoba Sauce2.8,can,can,2800,2156.0,Tin,,0.0,0.0,room_temperature,False,,,True,True
Red Cherries Syrup,can,can,830,91.65,Tin,,0.0,0.0,room_temperature,False,,,True,True
Green Chilli Sauce,liter,bottle,680,45.0,Sauce_jam_pickle,,4.0,0.0,room_temperature,False,,CHINGH,True,True
Red Chilli Sauce,liter,bottle,680,45.0,Sauce_jam_pickle,,4.0,0.0,room_temperature,False,,CHINGH,True,True
Soya Sauce  ,liter,bottle,750,45.0,Sauce_jam_pickle,,2.0,0.0,room_temperature,False,,CHINGH,True,True
Green Chilli Sauce  ,liter,bottle,4500,235.0,Sauce_jam_pickle,,0.0,0.0,room_temperature,False,,EVERPLUS ,True,True
Red Chilli Sauce  ,liter,bottle,4500,235.0,Sauce_jam_pickle,,0.0,0.0,room_temperature,False,,EVERPLUS ,True,True
Tomyom Sauce,liter,bottle,1000,470.0,Sauce_jam_pickle,,0.0,0.0,room_temperature,False,,,True,True
Soya Sauce  ,liter,bottle,5000,235.0,Sauce_jam_pickle,,0.0,0.0,room_temperature,False,,EVERPLUS ,True,True
Barbecus Sauce,liter,bottle,510,229.41,Sauce_jam_pickle,,0.0,0.0,room_temperature,False,,,True,True
Worsterd Sauce,liter,bottle,750,51.41,Sauce_jam_pickle,,0.0,0.0,room_temperature,False,,,True,True
Mix Pickle ,liter,bottle,5000,245.0,Sauce_jam_pickle,,5.0,0.0,room_temperature,False,,EVERPLUS ,True,True
Mix Jam ,liter,bottle,4500,350.0,Sauce_jam_pickle,,5.0,0.0,room_temperature,False,,EVERPLUS ,True,True
Tomato Ketchup ,liter,bottle,1200,82.0,Sauce_jam_pickle,,4.0,0.0,room_temperature,False,,DR OETKER ,True,True
Tomato Ketchup ,packet,packet,2000,190.0,Sauce_jam_pickle,,0.0,0.0,room_temperature,False,,KISHAN,True,True
Tomato Ketchup,packet,packet,5000,230.0,Sauce_jam_pickle,,0.0,0.0,room_temperature,False,,,True,True
Tomato Ketchup Poucs,packet,packet,100,65.0,Sauce_jam_pickle,,0.0,0.0,room_temperature,False,,,True,True
Mix Pickle ,liter,bottle,950,114.0,Sauce_jam_pickle,,0.0,0.0,room_temperature,False,,EVEREST ,True,True
Green Chilli Pickle ,liter,bottle,950,170.0,Sauce_jam_pickle,,0.0,0.0,room_temperature,False,,EVEREST ,True,True
8 To 8 Sauce ,liter,bottle,200,80.0,Sauce_jam_pickle,,0.0,0.0,room_temperature,False,,GOLDEN CROWN ,True,True
Peri Peri Mayo Viba,packet,packet,1000,185.0,Sauce_jam_pickle,,0.0,0.0,room_temperature,False,,,True,True
Tandoori Mayonise Cream,packet,packet,1000,190.0,Sauce_jam_pickle,,0.0,0.0,room_temperature,False,,,True,True
Mayonise Cream ,packet,packet,1000,100.0,Sauce_jam_pickle,,2.0,0.0,room_temperature,False,,DR OETKER ,True,True
Oyster Sauce ,liter,bottle,510,225.0,Sauce_jam_pickle,,0.0,0.0,room_temperature,False,,LEE KUM KEE ,True,True
Mustard Sauce ,liter,bottle,1000,125.0,Sauce_jam_pickle,,1.0,0.0,room_temperature,False,,GOLDEN CROWN ,True,True
Veg Worcester Shire Sauce ,liter,bottle,200,48.75,Sauce_jam_pickle,,0.0,0.0,room_temperature,False,,,True,True
H P Sauce ,liter,bottle,200,205.0,Sauce_jam_pickle,,0.0,0.0,room_temperature,False,,,True,True
Pickle Mixed Vegetable ,liter,bottle,300,110.0,Sauce_jam_pickle,,0.0,0.0,room_temperature,False,,PRIYA ,True,True
Green Chilli Pickle ,liter,bottle,500,130.0,Sauce_jam_pickle,,0.0,0.0,room_temperature,False,,KHTARIJI ,True,True
Mix Fruit Jam ,liter,bottle,1000,105.0,Sauce_jam_pickle,,0.0,0.0,room_temperature,False,,,True,True
Mixed Vegetable Pickle ,liter,bottle,300,93.49,Sauce_jam_pickle,,0.0,0.0,room_temperature,False,,PRIYA ,True,True
Barbecue Sauce,liter,bottle,510,243.0,Sauce_jam_pickle,,0.0,0.0,room_temperature,False,,GOLDEN CROWN,True,True
Nachose Chips,packet,packet,200,79.79,Sauce_jam_pickle,,0.0,0.0,room_temperature,False,,,True,True
Nimboo Sat,packet,packet,1000,216.52,Sauce_jam_pickle,,0.0,0.0,room_temperature,False,,,True,True
Oyester Sauce,liter,bottle,750,222.0,Sauce_jam_pickle,,0.0,0.0,room_temperature,False,,,True,True
Piza Pista Sauce,liter,bottle,1000,155.0,Sauce_jam_pickle,,0.0,0.0,room_temperature,False,,,True,True
Pineapple  ,liter,bottle,1000,196.0,Crush,,0.0,0.0,room_temperature,False,,,True,True
Banana Crush,liter,bottle,1,201.0,Crush,,0.0,0.0,room_temperature,False,,,True,True
Blue Curaco Cursh,liter,bottle,1,276.75,Crush,,2.0,0.0,room_temperature,False,,,True,True
Guava Crush ,liter,bottle,750,155.79,Crush,,0.0,0.0,room_temperature,False,,,True,True
Kivi Crush,liter,bottle,1000,332.0,Crush,,0.0,0.0,room_temperature,False,,,True,True
Kokam Crush,liter,bottle,750,193.75,Crush,,0.0,0.0,room_temperature,False,,,True,True
Mango Crush,liter,bottle,750,186.0,Crush,,0.0,0.0,room_temperature,False,,,True,True
Strawverry Crush,liter,bottle,750,184.5,Crush,,0.0,0.0,room_temperature,False,,,True,True
Litchi Crush 1Ltr 240/-,liter,bottle,1000,196.0,Crush,,0.0,0.0,room_temperature,False,,,True,True
Refined Oil ,can,can,15000,1900.0,Oils,,5.0,0.0,room_temperature,False,,BEST CHOICE ,True,True
Musstard Oil ,liter,bottle,1000,166.0,Oils,,2.0,0.0,room_temperature,False,,ENGINE ,True,True
Olive Oil  ,liter,bottle,1000,725.0,Oils,,0.0,0.0,room_temperature,False,,BASSO ,True,True
Green Olive Oil ,liter,bottle,420,200.0,Oils,,0.0,0.0,room_temperature,False,,FIGARO ,True,True
Black Olive Oil ,liter,bottle,420,200.0,Oils,,0.0,0.0,room_temperature,False,,FIGARO ,True,True
Salad Oil,liter,bottle,50,122.7,Oils,,0.0,0.0,room_temperature,False,,,True,True
Gulab Jal ,liter,bottle,500,65.0,Water,,0.0,0.0,room_temperature,False,,GOLDEN CROWN ,True,True
Gulab Jal ,liter,bottle,1000,90.0,Water,,1.0,0.0,room_temperature,False,,GOLDEN CROWN ,True,True
Gulab Jal ,liter,bottle,250,45.0,Water,,0.0,0.0,room_temperature,False,,GOLDEN CROWN ,True,True
Kewra Water ,liter,bottle,500,50.0,Water,,1.0,0.0,room_temperature,False,,GOLDEN CROWN ,True,True
Vinegar ,liter,bottle,680,35.0,Water,,3.0,0.0,room_temperature,False,,GOLDEN CROWN ,True,True
Kewra Water ,liter,bottle,250,50.0,Water,,1.0,0.0,room_temperature,False,,DABUR ,True,True
Dal Moong Mogar ,kg,packet,1000,96.0,Pulses,,10.0,0.0,room_temperature,False,,,True,True
Dal Green Moong Sabut ,kg,packet,1000,89.0,Pulses,,10.0,0.0,room_temperature,False,,,True,True
Dal White Mutter  ,kg,packet,1000,43.0,Pulses,,0.0,0.0,room_temperature,False,,,True,True
Dal Channa ,kg,packet,1000,74.0,Pulses,,15.0,0.0,room_temperature,False,,,True,True
Dal Rajma ,kg,packet,1000,118.0,Pulses,,15.0,0.0,room_temperature,False,,,True,True
Dal Kala Urd Chilka ,kg,packet,1000,99.0,Pulses,,15.0,0.0,room_temperature,False,,,True,True
