Ingredient Name,Unit of Measurement,Purchase Unit,Conversion Factor,Cost Per Unit,Category,Description,Minimum Stock Level,Current Stock,Storage Temperature,Is Perishable,Shelf Life Days,Brand,Active,Available
Salt White Pouch  250,packet,packet,250,50,Spices ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Salt Black Pouch 250 ,packet,packet,250,160,Spices ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Methi Sabut ,kg,packet,1000,94,Spices ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Rai ,kg,packet,1000,75.6,Spices ,,3,0,room_temperature,FALSE,,,TRUE,TRUE
Amchur ,kg,packet,1000,150,Spices ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Haldi Powder ,kg,packet,1000,208,Spices ,,8,0,room_temperature,FALSE,,,TRUE,TRUE
Red Chilli Powder ,kg,packet,1000,194,Spices ,,15,0,room_temperature,FALSE,,,TRUE,TRUE
Dhania Powder ,kg,packet,1000,134,Spices ,,10,0,room_temperature,FALSE,,,TRUE,TRUE
Red Chilli Sabut ,kg,packet,1000,169,Spices ,,3,0,room_temperature,FALSE,,,TRUE,TRUE
Dhania Sabut ,kg,packet,1000,93,Spices ,,1,0,room_temperature,FALSE,,,TRUE,TRUE
Black Pepper ,kg,packet,1000,360,Spices ,,0.5,0,room_temperature,FALSE,,,TRUE,TRUE
Dal Chini ,kg,packet,1000,260,Spices ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Elachi Big ,kg,packet,1000,1950,Spices ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Star Phool ,kg,packet,1000,380,Spices ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Tez Pata ,kg,packet,1000,100,Spices ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Elachi Hari ,kg,packet,1000,3200,Spices ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Kalonji,kg,packet,1000,266.77,Spices ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Long,kg,packet,1000,780,Spices ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Javetri,kg,packet,1000,1872,Spices ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Black Salt ,kg,packet,1000,30,Spices ,,6,0,room_temperature,FALSE,,,TRUE,TRUE
Khada Masala ,kg,packet,1000,1256,Spices ,,1,0,room_temperature,FALSE,,,TRUE,TRUE
Aromat Seasoning Powder,packet,packet,500,215,Spices ,,,0,room_temperature,FALSE,,KNORR,TRUE,TRUE
Bileching Powder,packet,packet,1000,32.06,Spices ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Peri Peri Masala,packet,packet,100,150,Spices ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Sugar Loose ,kg,packet,1000,43.5,Sugar ,,10,0,room_temperature,FALSE,,,TRUE,TRUE
Sugar Candy ,kg,packet,1000,54,Sugar ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Sugar Cube ,kg,packet,500,48,Sugar ,,,0,room_temperature,FALSE,,DAURALA ,TRUE,TRUE
Sugar Free,packet,packet,75,100,Sugar ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Staff Rice ,kg,packet,1000,36,Rice ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Briyani Rice 48 No.,kg,packet,1000,64.5,Rice ,,30,0,room_temperature,FALSE,,AMEENA ,TRUE,TRUE
Briyani Rice 52 No.,kg,packet,1000,67.74,Rice ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Guest Rice ,kg,packet,1000,43,Rice ,,420,0,room_temperature,FALSE,,JEEBA ,TRUE,TRUE
Dosa Kani ,kg,packet,1000,35,Rice ,,,0,room_temperature,FALSE,,JEEBA ,TRUE,TRUE
Dawat Rice ,kg,packet,1000,99.75,Rice ,,,0,room_temperature,FALSE,,JASAL A ONE ,TRUE,TRUE
Briyani Rice  ,kg,packet,1000,68.5,Rice ,,,0,room_temperature,FALSE,,INDIA GATE ,TRUE,TRUE
Regular Choice Rice ,kg,packet,1000,74.2,Rice ,,,0,room_temperature,FALSE,,INDIA GATE ,TRUE,TRUE
Mushroom Button ,can,can,800,86.45,Tin ,,,0,room_temperature,FALSE,,FRUTINS,TRUE,TRUE
